symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NFLX,2019-03-26 00:00:00+00:00,359.97,368.38,358.02,367.87,7666475,359.97,368.38,358.02,367.87,7666475,0.0,1.0
NFLX,2019-03-27 00:00:00+00:00,353.37,362.47,350.37,361.0,7852370,353.37,362.47,350.37,361.0,7852370,0.0,1.0
NFLX,2019-03-28 00:00:00+00:00,354.61,355.94,349.2,354.485,4360960,354.61,355.94,349.2,354.485,4360960,0.0,1.0
NFLX,2019-03-29 00:00:00+00:00,356.56,358.25,353.71,357.16,4705636,356.56,358.25,353.71,357.16,4705636,0.0,1.0
NFLX,2019-04-01 00:00:00+00:00,366.96,368.33,358.51,359.0,7036097,366.96,368.33,358.51,359.0,7036097,0.0,1.0
NFLX,2019-04-02 00:00:00+00:00,367.72,368.42,362.22,366.25,5158742,367.72,368.42,362.22,366.25,5158742,0.0,1.0
NFLX,2019-04-03 00:00:00+00:00,369.75,373.4105,366.19,369.26,5376623,369.75,373.4105,366.19,369.26,5376623,0.0,1.0
NFLX,2019-04-04 00:00:00+00:00,367.88,372.05,362.4,370.07,4627305,367.88,372.05,362.4,370.07,4627305,0.0,1.0
NFLX,2019-04-05 00:00:00+00:00,365.49,369.8,364.66,369.0,3905493,365.49,369.8,364.66,369.0,3905493,0.0,1.0
NFLX,2019-04-08 00:00:00+00:00,361.41,365.94,359.93,365.11,4653810,361.41,365.94,359.93,365.11,4653810,0.0,1.0
NFLX,2019-04-09 00:00:00+00:00,364.71,366.74,359.0,360.54,5439228,364.71,366.74,359.0,360.54,5439228,0.0,1.0
NFLX,2019-04-10 00:00:00+00:00,363.92,368.8481,362.25,365.79,4545561,363.92,368.8481,362.25,365.79,4545561,0.0,1.0
NFLX,2019-04-11 00:00:00+00:00,367.65,370.12,360.81,365.0,6526899,367.65,370.12,360.81,365.0,6526899,0.0,1.0
NFLX,2019-04-12 00:00:00+00:00,351.14,361.75,349.36,360.69,15646199,351.14,361.75,349.36,360.69,15646199,0.0,1.0
NFLX,2019-04-15 00:00:00+00:00,348.87,352.21,342.27,350.71,8842344,348.87,352.21,342.27,350.71,8842344,0.0,1.0
NFLX,2019-04-16 00:00:00+00:00,359.46,364.4787,352.72,355.0,18740232,359.46,364.4787,352.72,355.0,18740232,0.0,1.0
NFLX,2019-04-17 00:00:00+00:00,354.74,368.764,350.6,365.05,18054101,354.74,368.764,350.6,365.05,18054101,0.0,1.0
NFLX,2019-04-18 00:00:00+00:00,360.35,360.41,351.64,355.0,8353165,360.35,360.41,351.64,355.0,8353165,0.0,1.0
NFLX,2019-04-22 00:00:00+00:00,377.34,377.69,359.0,359.7,11980534,377.34,377.69,359.0,359.7,11980534,0.0,1.0
NFLX,2019-04-23 00:00:00+00:00,381.89,384.8,374.7069,375.45,10089820,381.89,384.8,374.7069,375.45,10089820,0.0,1.0
NFLX,2019-04-24 00:00:00+00:00,374.23,381.9,373.2698,381.07,6541872,374.23,381.9,373.2698,381.07,6541872,0.0,1.0
NFLX,2019-04-25 00:00:00+00:00,368.33,374.76,365.7,374.49,6255496,368.33,374.76,365.7,374.49,6255496,0.0,1.0
NFLX,2019-04-26 00:00:00+00:00,374.85,375.14,366.24,368.35,5621901,374.85,375.14,366.24,368.35,5621901,0.0,1.0
